Country,date,Alt_Mean_co2,lat,long,Alt_Mean_no2,Alt_Mean_ch4,Alt_Mean_o3
South Georgia and the South Sandwich Islands,2014-03-13,0.00142375004,409.33,275.29999999999995,2.63845103e-09,1.16478792e-06,7.5822815000000005e-06
New Zealand,2014-03-13,0.0036459351700000005,-215.49999999999997,339.04,7.24344114e-09,3.60143526e-06,1.9158814500000003e-05
French Southern Territories,2014-03-13,0.0005464281999999999,163.55,-216.88,1.1306400000000001e-09,5.670032800000001e-07,3.4771513000000003e-06
French Southern Territories,2014-03-14,0.00028086454,81.09,9.25,3.588778700000001e-10,1.8297919e-07,1.3080222e-06
New Zealand,2014-03-14,0.005440089790000001,477.66999999999996,26.730000000000018,1.0395523680000002e-08,5.16324018e-06,2.98302124e-05
South Georgia and the South Sandwich Islands,2014-03-15,0.00078649881,-190.55,62.06000000000001,1.7607942000000002e-09,8.5077298e-07,4.3066648e-06
New Zealand,2014-03-15,0.004627963099999999,643.59,78.82999999999996,1.040071876e-08,4.63353174e-06,2.63663426e-05
South Georgia and the South Sandwich Islands,2014-03-16,0.0015917706799999998,332.38000000000005,-566.64,4.27530804e-09,1.82717618e-06,9.2817696e-06
South Africa,2014-03-16,0.00026055422,-65.74,-58.11,5.807403400000002e-10,2.8477305e-07,1.3220673e-06
New Zealand,2014-03-16,0.00427273741,-34.440000000000055,536.0499999999998,1.132397186e-08,4.535741800000001e-06,2.37595427e-05
South Georgia and the South Sandwich Islands,2014-03-17,0.00052678944,-135.09,184.05,1.15143354e-09,5.642102e-07,2.9987322999999996e-06
New Zealand,2014-03-17,0.00548861005,483.5400000000002,-96.12000000000015,1.509575218e-08,5.926128469999999e-06,3.1693476100000003e-05
South Africa,2014-03-17,0.0007789744499999999,-201.46,4.039999999999999,1.7730846700000002e-09,7.709023300000001e-07,3.9283323e-06
New Zealand,2014-03-18,0.006511685990000001,254.55000000000007,0.010000000000143672,1.614604076e-08,7.029566240000001e-06,3.586749940000001e-05
New Zealand,2014-03-19,0.005315999830000001,360.27,-190.53999999999994,1.318121542e-08,5.63187042e-06,3.08785964e-05
South Georgia and the South Sandwich Islands,2014-03-19,0.00053233389,-141.35000000000002,138.58,1.1591602e-09,5.3092918e-07,2.7813044000000007e-06
South Africa,2014-03-20,0.0010458236700000001,304.07,77.96999999999998,2.66312567e-09,9.6986592e-07,6.5949859000000005e-06
South Georgia and the South Sandwich Islands,2014-03-20,0.00115939055,-285.70000000000005,218.32999999999998,2.3411046000000003e-09,1.09821356e-06,5.4007182e-06
New Zealand,2014-03-20,0.00323367751,169.03000000000003,-291.03,7.68556373e-09,3.5031370300000003e-06,1.9205497299999998e-05
South Georgia and the South Sandwich Islands,2014-03-21,0.00247651939,82.03999999999996,22.620000000000005,5.285819840000001e-09,2.30302178e-06,1.29170482e-05
New Zealand,2014-03-21,0.004030918789999999,-358.40999999999997,-102.17999999999998,9.008511420000001e-09,4.09883122e-06,2.25008769e-05
South Africa,2014-03-21,0.00053340826,149.14,39.52,1.26083538e-09,4.3948509e-07,3.2103361000000005e-06
South Africa,2014-03-22,0.00053032872,146.61,29.7,1.30894889e-09,4.846280400000001e-07,3.3063613999999995e-06
French Southern Territories,2014-03-22,0.00103439076,-298.54,97.99,1.98439995e-09,1.01700257e-06,5.3344419e-06
South Georgia and the South Sandwich Islands,2014-03-22,0.00107456579,-296.28999999999996,82.71,2.2084827e-09,1.04751575e-06,5.0635058e-06
New Zealand,2014-03-22,0.00294672236,662.31,-333.9,7.4334781900000015e-09,2.9732814999999998e-06,1.8157050000000003e-05
